priority,collection_id
2,Altenhagen Mecklenburg-Vorpommern
2,Altenhausen Sachsen-Anhalt
2,Altenhof Schleswig-Holstein
2,Altenhof Mecklenburg-Vorpommern
2,Altenholz Schleswig-Holstein
2,Altenkirchen Rheinland-Pfalz
2,Altenkirchen Mecklenburg-Vorpommern
2,Altenkirchen (Westerwald) Rheinland-Pfalz
2,Altenkrempe Schleswig-Holstein
2,Altenkunstadt Bayern
2,Altenmarkt an der Alz Bayern
2,Altenmedingen Niedersachsen
2,Altenmoor Schleswig-Holstein
2,Altenmünster Bayern
2,Altenpleen Mecklenburg-Vorpommern
2,Altenriet Baden-Württemberg
2,Altenstadt Hessen
2,Altenstadt Bayern
2,Altenstadt an der Waldnaab Bayern
2,Altensteig Baden-Württemberg
2,Altenthann Bayern
2,Altentreptow Mecklenburg-Vorpommern
2,Alterkülz Rheinland-Pfalz
2,Altersbach Thüringen
2,Altertheim Bayern
2,Altfraunhofen Bayern
2,Althegnenberg Bayern
2,Altheim Baden-Württemberg
2,Altheim (Alb) Baden-Württemberg
2,Althengstett Baden-Württemberg
2,Althornbach Rheinland-Pfalz
2,Althütte Baden-Württemberg
2,Althüttendorf Brandenburg
2,Altkalen Mecklenburg-Vorpommern
2,Altkirchen Thüringen
2,Alt Krenzlin Mecklenburg-Vorpommern
2,Altlandsberg Brandenburg
2,Altlay Rheinland-Pfalz
2,Altleiningen Rheinland-Pfalz
2,Altlußheim Baden-Württemberg
2,Altmannstein Bayern
2,Altmärkische Höhe Sachsen-Anhalt
2,Altmärkische Wische Sachsen-Anhalt
2,Alt Meteln Mecklenburg-Vorpommern
2,Altmittweida Sachsen
2,Alt Mölln Schleswig-Holstein
2,Altomünster Bayern
2,Altötting Bayern
2,Altrich Rheinland-Pfalz
2,Altrip Rheinland-Pfalz
2,Altscheid Rheinland-Pfalz
2,Alt Schwerin Mecklenburg-Vorpommern
2,Altshausen Baden-Württemberg
2,Altstrimmig Rheinland-Pfalz
2,Alt Sührkow Mecklenburg-Vorpommern
2,Alt Tellin Mecklenburg-Vorpommern
2,Alt Tucheband Brandenburg
2,Altusried Bayern
2,Altwarp Mecklenburg-Vorpommern
2,Altweidelbach Rheinland-Pfalz
2,Altwigshagen Mecklenburg-Vorpommern
2,Alt Zachun Mecklenburg-Vorpommern
2,Alt Zauche-Wußwerk Brandenburg
2,Alveslohe Schleswig-Holstein
2,Alzenau Bayern
2,Alzey Rheinland-Pfalz
2,Amberg Bayern
2,Amelinghausen Niedersachsen
2,Amerang Bayern
2,Amerdingen Bayern
2,Am Großen Bruch Sachsen-Anhalt
2,Ammeldingen an der Our Rheinland-Pfalz
2,Ammeldingen bei Neuerburg Rheinland-Pfalz
2,Am Mellensee Brandenburg
2,Ammerbuch Baden-Württemberg
2,Ammerndorf Bayern
2,Ammersbek Schleswig-Holstein
2,Ammerthal Bayern
2,Am Ohmberg Thüringen
2,Amöneburg Hessen
2,Amorbach Bayern
2,Ampfing Bayern
2,Am Salzhaff Mecklenburg-Vorpommern
2,Amstetten Baden-Württemberg
2,Amt Neuhaus Niedersachsen
2,Amtsberg Sachsen
2,Amt Wachsenburg Thüringen
2,Amtzell Baden-Württemberg
2,Andechs Bayern
2,Anderlingen Niedersachsen
2,Andernach Rheinland-Pfalz
2,An der Poststraße Sachsen-Anhalt
2,Andervenne Niedersachsen
2,Andisleben Thüringen
2,Angelbachtal Baden-Württemberg
2,Angelburg Hessen
2,Angelroda Thüringen
2,Anger Bayern
2,Angermünde Brandenburg
2,Angern Sachsen-Anhalt
2,Anhausen Rheinland-Pfalz
2,Ankershagen Mecklenburg-Vorpommern
2,Anklam Mecklenburg-Vorpommern
2,Ankum Niedersachsen
2,Annaberg-Buchholz Sachsen
2,Annaburg Sachsen-Anhalt
2,Annweiler am Trifels Rheinland-Pfalz
2,Anröchte Nordrhein-Westfalen
2,Anrode Thüringen
2,Ansbach Bayern
2,Anschau Rheinland-Pfalz
2,Antdorf Bayern
2,Antrifttal Hessen
2,Antweiler Rheinland-Pfalz
2,Anzing Bayern
2,Apelern Niedersachsen
2,Apen Niedersachsen
2,Apenburg-Winterfeld Sachsen-Anhalt
2,Apensen Niedersachsen
2,Apfeldorf Bayern
2,Apfeltrach Bayern
2,Apolda Thüringen
2,Appel Niedersachsen
2,Appen Schleswig-Holstein
2,Appenheim Rheinland-Pfalz
2,Appenweier Baden-Württemberg
2,Arbach Rheinland-Pfalz
2,Arberg Bayern
2,Aremberg Rheinland-Pfalz
2,Arendsee (Altmark) Sachsen-Anhalt
2,Arenrath Rheinland-Pfalz
2,Arenshausen Thüringen
2,Aresing Bayern
2,Arft Rheinland-Pfalz
2,Argenbühl Baden-Württemberg
2,Argenschwang Rheinland-Pfalz
2,Argenthal Rheinland-Pfalz
2,Arholzen Niedersachsen
2,Arkebek Schleswig-Holstein
2,Arlewatt Schleswig-Holstein
2,Armsheim Rheinland-Pfalz
2,Armstedt Schleswig-Holstein
2,Armstorf Niedersachsen
2,Arnbruck Bayern
2,Arneburg Sachsen-Anhalt
2,Arnis Schleswig-Holstein
2,Arnsberg Nordrhein-Westfalen
2,Arnschwang Bayern
2,Arnsdorf Sachsen
2,Arnshöfen Rheinland-Pfalz
2,Arnstadt Thüringen
2,Arnstein Bayern
2,Arnstein Sachsen-Anhalt
2,Arnstorf Bayern
2,Arpsdorf Schleswig-Holstein
2,Arrach Bayern
2,Artern/Unstrut Thüringen
2,Artlenburg Niedersachsen
2,Arzbach Rheinland-Pfalz
2,Arzberg Sachsen
2,Arzberg Bayern
2,Arzfeld Rheinland-Pfalz
2,Asbach Rheinland-Pfalz
2,Asbach-Bäumenheim Bayern
2,Asbach-Sickenberg Thüringen
2,Ascha Bayern
2,Aschaffenburg Bayern
2,Aschau am Inn Bayern
2,Aschau im Chiemgau Bayern
2,Aschbach Rheinland-Pfalz
2,Ascheberg Nordrhein-Westfalen
2,Ascheberg Schleswig-Holstein
2,Ascheffel Schleswig-Holstein
2,Aschenhausen Thüringen
2,Aschersleben Sachsen-Anhalt
2,Aschheim Bayern
2,Asendorf Niedersachsen
2,Aspach Baden-Württemberg
2,Asperg Baden-Württemberg
2,Aspisheim Rheinland-Pfalz
2,Assamstadt Baden-Württemberg
